
========================================
[2026-06-14 22:42:34]
Target: Service: PermissionManagerServiceInternal
Method: getLegacyPermissions
Args: none
Result:
Collection [2837 elements]:
  [102] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{6a77f50 com.samsung.accessibility.permission.ACCESSIBILITY_SHORTCUT_EDIT}, mType=0, mUid=1000}
  [103] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{1c56e4e android.permission.FOREGROUND_SERVICE_HEALTH}, mType=0, mUid=1000}
  [104] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{b8d407c com.google.android.googlequicksearchbox.permission.C2D_MESSAGE}, mType=0, mUid=10246}
  [105] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{e215a android.permission.READ_LOWPAN_CREDENTIAL}, mType=0, mUid=1000}
  [106] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{8abe868 com.samsung.android.permission.LID_STATE}, mType=0, mUid=1000}
  [107] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{dfcf926 com.google.android.googleapps.permission.GOOGLE_AUTH.panoramio}, mType=0, mUid=10243}
  [108] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{48b2314 android.permission.MANAGE_DEVICE_POLICY_FACTORY_RESET}, mType=0, mUid=1000}
  [109] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{4815c80 android.permission.FRAME_STATS}, mType=0, mUid=1000}
  [110] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{e88e5f android.permission.health.WRITE_SYMPTOM_STOMACH_ACHE}, mType=0, mUid=10292}
  [111] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{f01a175 com.samsung.android.knox.permission.KNOX_CONTAINER}, mType=0, mUid=1000}
  [112] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{cb1b17b com.samsung.android.launcher.permission.WRITE_SETTINGS}, mType=0, mUid=10145}
  [113] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{357dff1 com.google.android.gm.permission.BROADCAST_INTERNAL}, mType=0, mUid=10262}
  [114] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{81fea57 com.samsung.android.samsungpass.permissions.MIGRATION}, mType=0, mUid=10121}
  [115] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{4f98a2d com.sec.samsung.android.chromecustomizations.permission.HOMEPAGE}, mType=0, mUid=10159}
  [116] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{5ced4f3 dexonpc.app.action.permission.KMS_FILETRANSFER_DRAG_FILEINFO}, mType=0, mUid=1000}
  [117] LegacyPermission{mGids=[0 items], mPermissionInfo=PermissionInfo{9919c29 com.google.android.gms.permission.APPINDEXING}, mType=0, mUid=10243}
